Description,Category,Sub-Category,Title,Link,IconURL,Icon,FilePath
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,Future of Sustainable Data Alliance,http://solutions.refinitiv.com/futureofsustainabledata,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Refintiv_Logo.svg/1920px-Refintiv_Logo.svg.png,,resources/environment-sustainability-and-governance/future-sustainable-data.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,Impact 2030,https://www.impact2030.com/home,https://www.impact2030.com/assets/images/header/logo-impact2030.png,,resources/environment-sustainability-and-governance/impact2030.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,Science Based Targets,https://sciencebasedtargets.org/financial-institutions/,https://sciencebasedtargets.org/wp-content/uploads/2015/01/logonew.png,,resources/environment-sustainability-and-governance/science-based-targets.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,Sustainable Finance,https://www.sustainablefinance.org.au/,https://static1.squarespace.com/static/5c982bfaa5682794a1f08aa3/t/5c99414ee2c483a98941379c/1585797879138/?format=1500w,,resources/environment-sustainability-and-governance/sustainable-finance.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,Task Force on Climate-related Financial Disclosures,https://www.fsb-tcfd.org/publications/final-recommendations-report/#,,fas fa-cloud-sun,resources/environment-sustainability-and-governance/task-force-climate.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,The Asset - ESG Forum,https://esg.theasset.com/,https://esg.theasset.com/images/logo.png,,resources/environment-sustainability-and-governance/esg-forum.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,United Nations Environment Programme Financial Initiative,https://www.unepfi.org/,https://upload.wikimedia.org/wikipedia/commons/e/e9/Logo_of_the_United_Nations_%28B%26W%29.svg,,resources/environment-sustainability-and-governance/un-environment-programme-financial.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,United Nations Sustainable Development Solutions Network,https://www.unsdsn.org/,https://upload.wikimedia.org/wikipedia/commons/e/e9/Logo_of_the_United_Nations_%28B%26W%29.svg,,resources/environment-sustainability-and-governance/un-sustainable-development.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,World Resources Institute,https://www.wri.org/,https://www.wri.org/sites/all/themes/wri/images/logo.png,,resources/environment-sustainability-and-governance/world-resources-institute.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Australian Banking Association,https://www.ausbanking.org.au/,https://www.ausbanking.org.au/wp-content/themes/ausbank/library/img/logo.svg,,resources/finance/finance-reading/aus-banking.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Australian Financial Markets Association,https://afma.com.au/,https://afma.com.au/images/logo.png,,resources/finance/finance-reading/australian-financial-markets-association.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Bank for International Settlements,https://www.bis.org/,https://www.bis.org/img/bis-logo-short.gif,,resources/finance/finance-reading/bis.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Bank of England,https://www.bankofengland.co.uk/,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Bank_of_England.svg/800px-Bank_of_England.svg.png,,resources/finance/finance-reading/bank-of-england.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Banking Finance Oath,https://thebfo.org/,https://thebfo.org/App_Sites/thebfo/Templates/Default/images/logo-thebfo-crop.png?nocompression=1,,resources/finance/finance-reading/banking-finance-oath.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,APRA,https://www.apra.gov.au/news-and-publications/39,https://www.apra.gov.au/themes/apra_theme/logo.png,,resources/finance/finance-reading/apra.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Broker News,https://www.brokernews.com.au/,https://www.brokernews.com.au/images/logo.png,,resources/finance/finance-reading/aus-broker.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Bloomberg Asia,https://www.bloomberg.com/asia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/New_Bloomberg_Logo.svg/1920px-New_Bloomberg_Logo.svg.png,,resources/finance/finance-reading/bloomberg-asia.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Business Insider,https://www.businessinsider.com.au/,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Business_Insider_Logo.svg/1920px-Business_Insider_Logo.svg.png,,resources/finance/finance-reading/business-insider.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Digital Finance Analytics,https://digitalfinanceanalytics.com/blog/,https://digitalfinanceanalytics.com/blog/wp-content/uploads/2016/07/cropped-DFA-Blog-Nar-Flat-Logo-New-192x192.jpg,,resources/finance/finance-reading/dfa.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,FINSIA,https://www.finsia.com/,https://www.finsia.com/images/default-source/finsia-v3/logos/finsia-logo.jpg?sfvrsn=d5f19993_0,,resources/finance/finance-reading/finsia.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,FX Street,https://www.fxstreet.com/,https://i2.wp.com/about.fxstreet.com/wp-content/uploads/2013/02/1.jpg?resize=198%2C70,,resources/finance/finance-reading/fx-street.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Gartner Finance Knowledge Hub,https://www.cebglobal.com/public/finance/login.html?resource=/member/finance/events-and-training/finance-knowledge-hub.html%3f%25253freferrerTitle=Finance%25252520Knowledge%25252520Hub,https://www.cebglobal.com/content/finance/us/en/public/_jcr_content/content-top/header.img.png/1533587234894.png,,resources/finance/gartner.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Internal Consulting,https://internalconsulting.com/tir/the-insights-review-march-2020/,https://internalconsulting.com/wp-content/uploads/2019/12/ICG-Logo-2019-100px.jpg,,resources/finance/finance-reading/internal-consulting.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Investopedia,https://www.investopedia.com/,https://www.investopedia.com/static/1.98.0/icons/favicons/apple-touch-icon-180x180.png,,resources/finance/finance-reading/investopedia.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Moodys,https://www.moodys.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Moody%E2%80%99s_logo.svg/1920px-Moody%E2%80%99s_logo.svg.png,,resources/finance/finance-reading/moodys.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Praxiom,https://www.praxiom.com/iso-31000-terms.htm,,fab fa-readme,resources/finance/finance-reading/praxiom.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Reserve Bank of Australia,https://www.rba.gov.au/,https://www.rba.gov.au/assets/images/logos/favicon-152.png,,resources/finance/finance-reading/rba.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Reuters,https://www.reuters.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Reuters_Logo.svg/1920px-Reuters_Logo.svg.png,,resources/finance/finance-reading/reuters.md
